BillNo,Date,Time,Description,Quantity,Rate,Amount
167260,1/1/2014,21:27:30,KINLEY WATER,2,30,60
167261,1/1/2014,21:29:09,TATA SALT 1K,1,16,16
167262,1/1/2014,9:48:46,I D DOSA BAT,1,45,45
167263,1/1/2014,9:59:35,CARRY BAG   ,1,2,2
167263,1/1/2014,9:59:35,MILK 500ML  ,3,19,57
167264,1/1/2014,10:00:15,MILK 500ML  ,5,19,95
167265,1/1/2014,10:07:08,SURF EXCEL A,1,197,197
167265,1/1/2014,10:07:08,PAMPERS XL 1,1,274,274
167265,1/1/2014,10:07:08,VIM BAR 265G,1,43,43
167266,1/1/2014,10:08:00,B RAVA 1KG  ,1,38,38
167266,1/1/2014,10:08:00,EGG         ,12,4.5,54
167267,1/1/2014,10:08:23,BAMBINO VARM,1,52,52
167268,1/1/2014,10:09:26,BRITANNIA FR,1,15,15
167269,1/1/2014,10:10:12,5050 MASKA ,1,20,20
167269,1/1/2014,10:10:12,MILK 500ML  ,2,19,38
167270,1/1/2014,10:11:43,COCONUT 1P  ,2,17,34
167271,1/1/2014,10:13:41,MILK 500ML  ,2,19,38
167271,1/1/2014,10:13:41,WHISPER ULTR,1,290,290
167272,1/1/2014,10:14:42,KURKURE 10/,1,10,10
167273,1/1/2014,10:16:24,BRITANNIA WH,1,26,26
167274,1/1/2014,10:16:56,MILK 500ML  ,2,19,38
167275,1/1/2014,10:18:10,EGG         ,6,4.5,27
167275,1/1/2014,10:18:10,BRITANNIA WH,1,26,26
167275,1/1/2014,10:18:10,SUGAR 500GM ,1,19,19
167276,1/1/2014,10:19:41,EGG         ,12,4.5,54
167276,1/1/2014,10:19:41,CADBURY DAIR,1,10,10
167276,1/1/2014,10:19:41,BRITANNIA MI,1,14,14
167277,1/1/2014,10:20:13,BRITANNIA BR,1,26,26
167277,1/1/2014,10:20:13,MAGGI MASALA,4,10,40
167278,1/1/2014,10:21:22,COCONUT 1P  ,1,17,17
167279,1/1/2014,10:21:31,NESTLE FRESH,1,20,20
167280,1/1/2014,10:25:23,MILK 500ML  ,3,24,72
167280,1/1/2014,10:25:23,MILK 500ML  ,5,19,95
167280,1/1/2014,10:25:23,ACT II POPCO,2,20,40
167280,1/1/2014,10:25:23,MAGGI NOODLE,2,20,40
167280,1/1/2014,10:25:23,BRITANNIA BR,1,26,26
167280,1/1/2014,10:25:23,SAFFOLA OATS,3,15,45
167280,1/1/2014,10:25:23,HALDIRAM`S 3,1,80,80
167281,1/1/2014,10:25:48,COCONUT 1P  ,1,17,17
167281,1/1/2014,10:25:48,SUNDROP 1LTR,1,170,170
