BillNo,Date,Time,Description,Quantity,Rate,Amount
182056,1/3/2014,20:33:46,CARRY BAG   ,1,2,2
182056,1/3/2014,20:33:46,ONIONS      ,1.5,15,22.5
182057,1/3/2014,20:39:01,PRIYA REF SU,1,86,86
182057,1/3/2014,20:39:01,HERITAGE CUR,1,40,40
182057,1/3/2014,20:39:01,NESTLE ALPIN,1,25,25
182057,1/3/2014,20:39:01,I D DOSA BAT,1,45,45
182057,1/3/2014,20:39:01,FABERCASTEL,1,5,5
182058,1/3/2014,20:40:29,COCACOLA 60,1,35,35
182058,1/3/2014,20:40:29,SPRITE 500ML,1,35,35
182058,1/3/2014,20:40:29,KINLEY SODA ,1,28,28
182059,1/3/2014,20:42:21,BRITANNIA BO,2,12,24
182060,1/3/2014,20:46:54,APSARA PENCI,10,5,50
182061,1/3/2014,20:47:30,SUNFEAST MAR,1,10,10
182061,1/3/2014,20:47:30,VAMU 50G    ,1,13,13
182061,1/3/2014,20:47:30,YIPPEE NOODL,2,10,20
182061,1/3/2014,20:47:30,RATNA CHIKKY,1,20,20
182062,1/3/2014,20:49:25,COCACOLA TI,1,25,25
182062,1/3/2014,20:49:25,HERITAGE CUR,1,40,40
182062,1/3/2014,20:49:25,STAYFREE SEC,2,33,66
182062,1/3/2014,20:49:25,MILK 500ML  ,1,20,20
182063,1/3/2014,20:50:02,BRITANNIA NU,1,15,15
182064,1/3/2014,20:51:29,KINLEY SODA ,1,18,18
182064,1/3/2014,20:51:29,PEARS 125G*3,1,156,156
182064,1/3/2014,20:51:29,HEAD & SHOUL,1,254,254
182065,1/3/2014,20:52:07,TAMRIND 200G,1,22,22
182066,1/3/2014,20:53:16,CADBURY DAIR,2,5,10
182066,1/3/2014,20:53:16,BULL BRAND C,2,12,24
182066,1/3/2014,20:53:16,TAMRIND 500G,1,49,49
182067,1/3/2014,9:07:36,WHEEL GREEN ,1,22,22
182068,1/3/2014,9:11:05,DABUR GINGER,1,36,36
182068,1/3/2014,9:11:05,PARLE HIDE &,1,10,10
182068,1/3/2014,9:11:05,KURKURE 20/,1,20,20
182069,1/3/2014,9:16:19,EVEREST SAMB,1,26,26
182070,1/3/2014,9:18:59,CADBURY ECLA,4,1,4
182070,1/3/2014,9:18:59,VIM BAR 265G,1,16,16
182071,1/3/2014,9:20:34,IDLI RAVA NO,1,26,26
182071,1/3/2014,9:20:34,PARACHUTE CO,1,50,50
182071,1/3/2014,9:20:34,CADBURY GEMS,1,35,35
182071,1/3/2014,9:20:34,MILK 500ML  ,4,21,84
182071,1/3/2014,9:20:34,HERITAGE CUR,1,20,20
182071,1/3/2014,9:20:34,EGG         ,6,4,24
182072,1/3/2014,9:21:40,MILK 500ML  ,2,20,40
182073,1/3/2014,9:24:30,VISAKHA DAIR,1,42,42
182074,1/3/2014,9:26:05,BRITANNIA WH,1,26,26
182074,1/3/2014,9:26:05,MILK 500ML  ,4,21,84
182075,1/3/2014,9:26:18,MILK 500ML  ,1,21,21
182076,1/3/2014,9:27:06,IDEA CARD 1/,100,1,100
182077,1/3/2014,9:29:01,CARRY BAG   ,1,2,2
182077,1/3/2014,9:29:01,COCONUT 1P  ,1,16,16
182077,1/3/2014,9:29:01,PAN CAKE MIX,1,175,175
182077,1/3/2014,9:29:01,I D DOSA BAT,1,45,45
182078,1/3/2014,9:29:22,MILK 500ML  ,1,21,21
182078,1/3/2014,9:29:22,HERITAGE CUR,1,20,20
182079,1/3/2014,9:29:55,EGG         ,12,4,48
182080,1/3/2014,9:30:10,QUAKER OATME,1,39,39
182081,1/3/2014,9:31:10,NESTLE MILKY,1,10,10
182081,1/3/2014,9:31:10,POOJA GINGEL,1,93,93
182081,1/3/2014,9:31:10,BRU INSTANT ,1,10,10
182081,1/3/2014,9:31:10,DABUR RED TO,1,17,17
182081,1/3/2014,9:31:10,FREEDOM SUNF,1,88,88
182081,1/3/2014,9:31:10,LAYS 10/   ,1,10,10
182082,1/3/2014,9:31:48,HUGGIES DRY ,1,499,499
182083,1/3/2014,9:32:40,MILK 500ML  ,3,21,63
182084,1/3/2014,9:34:06,CARRY BAG   ,1,3,3
182084,1/3/2014,9:34:06,THUMS UP TIN,2,25,50
182084,1/3/2014,9:34:06,GATORADE 500,1,35,35
182084,1/3/2014,9:34:06,LIMCA 600ML ,1,35,35
182084,1/3/2014,9:34:06,TROPICANA AP,1,99,99
182084,1/3/2014,9:34:06,DABUR TOMATO,2,20,40
182084,1/3/2014,9:34:06,PREMIER FACE,2,65,130
182084,1/3/2014,9:34:06,KISSAN MIXED,1,48,48
182084,1/3/2014,9:34:06,KINLEY WATER,1,10,10
182085,1/3/2014,9:37:17,BRITANNIA WH,1,26,26
182085,1/3/2014,9:37:17,HERITAGE CUR,1,40,40
182086,1/3/2014,9:41:30,GILLETTE MAC,1,489,489
182086,1/3/2014,9:41:30,GILLETTE VEC,1,85,85
182086,1/3/2014,9:41:30,GILLETTE FUS,1,649,649
182087,1/3/2014,9:41:52,MILK 500ML  ,1,21,21
182088,1/3/2014,9:42:17,CADBURY GEMS,1,20,20
182089,1/3/2014,9:43:41,GILLETTE FOA,1,199,199
182090,1/3/2014,9:44:28,CARRY BAG   ,1,2,2
182090,1/3/2014,9:44:28,COCONUT 1P  ,1,16,16
182091,1/3/2014,9:45:03,CADBURY DAIR,1,10,10
182092,1/3/2014,9:45:33,BRITANNIA MI,1,26,26
182092,1/3/2014,9:45:33,BRITANNIA BR,1,26,26
182093,1/3/2014,9:46:42,TIL BLACK 20,1,56,56
182094,1/3/2014,9:50:44,SABENA 1KG  ,1,22,22
182095,1/3/2014,9:53:17,CADBURY PERK,1,10,10
182096,1/3/2014,9:53:50,HERITAGE CUR,2,20,40
182096,1/3/2014,9:53:50,MILK 500ML  ,1,21,21
182097,1/3/2014,9:59:57,PRIYA RICE R,1,87,87
182098,1/3/2014,10:00:23,LAYS 20/   ,1,20,20
182099,1/3/2014,10:02:18,BULL BRAND C,1,12,12
182099,1/3/2014,10:02:18,MOONG DALL 5,2,48,96
182099,1/3/2014,10:02:18,HERITAGE CUR,1,20,20
182099,1/3/2014,10:02:18,MILK 500ML  ,4,21,84
182100,1/3/2014,10:02:35,CADBURY 5 ST,1,5,5
182100,1/3/2014,10:02:35,SPRITE 500ML,1,35,35
182101,1/3/2014,10:03:10,OREO BISKUIT,2,20,40
182101,1/3/2014,10:03:10,EGG         ,7,4,28
182102,1/3/2014,10:03:30,KURNOOL RICE,2,240,480
182103,1/3/2014,10:03:46,MILK 500ML  ,4,21,84
182104,1/3/2014,10:04:30,COCONUT 1P  ,1,16,16
182104,1/3/2014,10:04:30,TOOR DALL 50,1,42,42
182105,1/3/2014,10:05:08,MAIDA 500GM ,1,19,19
182106,1/3/2014,10:05:44,EGG         ,12,4,48
182107,1/3/2014,10:06:25,TIL NYLON(OR),1,32,32
182108,1/3/2014,10:06:43,HALDIRAM`S 8,2,10,20
182108,1/3/2014,10:06:43,BANANA CHIPS,3,25,75
182109,1/3/2014,10:07:06,BRITANNIA WH,1,26,26
182110,1/3/2014,10:09:53,MILK 500ML  ,1,21,21
182111,1/3/2014,10:11:45,GOLD DROP SU,1,89,89
182111,1/3/2014,10:11:45,AASHIRVAAD C,1,24,24
182111,1/3/2014,10:11:45,EVEREST CUMI,1,45,45
182112,1/3/2014,10:13:32,MILK 500ML  ,1,21,21
182112,1/3/2014,10:13:32,TATA SALT 1K,1,17,17
182112,1/3/2014,10:13:32,KUS KUS 50GM,1,35,35
182112,1/3/2014,10:13:32,JEERA 100G  ,1,25,25
182113,1/3/2014,10:17:47,KAMAL MEAL M,1,28,28
182113,1/3/2014,10:17:47,CHANA DALL 1,1,62,62
182113,1/3/2014,10:17:47,MOP STICK HA,1,40,40
182113,1/3/2014,10:17:47,SARA HW MOP ,1,220,220
182114,1/3/2014,10:19:06,EGG         ,6,4,24
182114,1/3/2014,10:19:06,I D DOSA BAT,1,45,45
182114,1/3/2014,10:19:06,SWARNA TAMAR,1,35,35
182114,1/3/2014,10:19:06,BRITANNIA MI,1,26,26
182115,1/3/2014,10:21:20,LAYS 10/   ,2,10,20
182116,1/3/2014,10:23:29,BRU GREEN LA,1,29,29
182116,1/3/2014,10:23:29,CHART PAPER ,1,5,5
