,BillNo,Date,Time,Description,Quantity,Rate,Amount
0,182056,1/3/2014,20:33:46,CARRY BAG,1.0,2.0,2.0
1,182056,1/3/2014,20:33:46,ONIONS,1.5,15.0,22.5
2,182057,1/3/2014,20:39:01,PRIYA,1.0,86.0,86.0
3,182057,1/3/2014,20:39:01,HERITAGE,1.0,40.0,40.0
4,182057,1/3/2014,20:39:01,NESTLE,1.0,25.0,25.0
5,182057,1/3/2014,20:39:01,I D,1.0,45.0,45.0
6,182057,1/3/2014,20:39:01,FABERCASTEL,1.0,5.0,5.0
7,182058,1/3/2014,20:40:29,COCACOLA,1.0,35.0,35.0
8,182058,1/3/2014,20:40:29,SPRITE,1.0,35.0,35.0
9,182058,1/3/2014,20:40:29,KINLEY,1.0,28.0,28.0
10,182059,1/3/2014,20:42:21,BRITANNIA,2.0,12.0,24.0
11,182060,1/3/2014,20:46:54,APSARA,10.0,5.0,50.0
12,182061,1/3/2014,20:47:30,SUNFEAST,1.0,10.0,10.0
13,182061,1/3/2014,20:47:30,VAMU,1.0,13.0,13.0
14,182061,1/3/2014,20:47:30,YIPPEE NOODL,2.0,10.0,20.0
15,182061,1/3/2014,20:47:30,RATNA,1.0,20.0,20.0
16,182062,1/3/2014,20:49:25,COCACOLA,1.0,25.0,25.0
17,182062,1/3/2014,20:49:25,HERITAGE,1.0,40.0,40.0
18,182062,1/3/2014,20:49:25,STAYFREE,2.0,33.0,66.0
19,182062,1/3/2014,20:49:25,MILK 500ML,1.0,20.0,20.0
20,182063,1/3/2014,20:50:02,BRITANNIA,1.0,15.0,15.0
21,182064,1/3/2014,20:51:29,KINLEY,1.0,18.0,18.0
22,182064,1/3/2014,20:51:29,PEARS,1.0,156.0,156.0
23,182064,1/3/2014,20:51:29,HEAD & SHOUL,1.0,254.0,254.0
24,182065,1/3/2014,20:52:07,TAMRIND,1.0,22.0,22.0
25,182066,1/3/2014,20:53:16,CADBURY,2.0,5.0,10.0
26,182066,1/3/2014,20:53:16,BULL BRAND C,2.0,12.0,24.0
27,182066,1/3/2014,20:53:16,TAMRIND,1.0,49.0,49.0
28,182067,1/3/2014,9:07:36,WHEEL GREEN,1.0,22.0,22.0
29,182068,1/3/2014,9:11:05,DABUR,1.0,36.0,36.0
30,182068,1/3/2014,9:11:05,PARLE,1.0,10.0,10.0
31,182068,1/3/2014,9:11:05,PARLE,1.0,10.0,10.0
32,182068,1/3/2014,9:11:05,KURKURE,1.0,20.0,20.0
33,182069,1/3/2014,9:16:19,EVEREST,1.0,26.0,26.0
34,182069,1/3/2014,9:16:19,EVER,1.0,26.0,26.0
35,182070,1/3/2014,9:18:59,CADBURY,4.0,1.0,4.0
36,182070,1/3/2014,9:18:59,VIM,1.0,16.0,16.0
37,182071,1/3/2014,9:20:34,IDLI RAVA NO,1.0,26.0,26.0
38,182071,1/3/2014,9:20:34,PARACHUTE,1.0,50.0,50.0
39,182071,1/3/2014,9:20:34,PARAC,1.0,50.0,50.0
40,182071,1/3/2014,9:20:34,CADBURY,1.0,35.0,35.0
41,182071,1/3/2014,9:20:34,MILK 500ML,4.0,21.0,84.0
42,182071,1/3/2014,9:20:34,HERITAGE,1.0,20.0,20.0
43,182071,1/3/2014,9:20:34,EGG,6.0,4.0,24.0
44,182072,1/3/2014,9:21:40,MILK 500ML,2.0,20.0,40.0
