,BillNo,Date,Time,Description,Item,Quantity,Rate,Amount
0,167261,1/1/2014,21:29:09,TATA SALT 1K,SALT,1.0,16.0,16.0
1,167262,1/1/2014,9:48:46,I D DOSA BAT,BATTER,1.0,45.0,45.0
2,167263,1/1/2014,9:59:35,CARRY BAG   ,CARRY BAG,1.0,2.0,2.0
3,167263,1/1/2014,9:59:35,MILK 500ML  ,MILK,3.0,19.0,57.0
4,167264,1/1/2014,10:00:15,MILK 500ML  ,MILK,5.0,19.0,95.0
5,167265,1/1/2014,10:07:08,SURF EXCEL AUTOMATIC,DETERGENT,1.0,197.0,197.0
6,167265,1/1/2014,10:07:08,PAMPERS XL 16 PANTS,DIAPERS,1.0,274.0,274.0
7,167265,1/1/2014,10:07:08,VIM BAR 265G,DISH CLEANER,1.0,43.0,43.0
8,167266,1/1/2014,10:08:00,B RAVA 1KG  ,RAVA,1.0,38.0,38.0
9,167266,1/1/2014,10:08:00,EGG         ,EGG,12.0,4.5,54.0
10,167267,1/1/2014,10:08:23,BAMBINO VARMICELLI,COOKING ITEMS,1.0,52.0,52.0
11,167268,1/1/2014,10:09:26,BRITANNIA FRUIT CAKES,BISCUITS,1.0,15.0,15.0
12,167269,1/1/2014,10:10:12,5050 MASKA ,BISCUITS,1.0,20.0,20.0
13,167269,1/1/2014,10:10:12,MILK 500ML  ,MILK,2.0,19.0,38.0
14,167270,1/1/2014,10:11:43,COCONUT 1P  ,COCONUT,2.0,17.0,34.0
15,167271,1/1/2014,10:13:41,MILK 500ML  ,MILK,2.0,19.0,38.0
16,167271,1/1/2014,10:13:41,WHISPER ULTRA,SANITARY PADS,1.0,290.0,290.0
17,167272,1/1/2014,10:14:42,KURKURE 10/,SNACKS,1.0,10.0,10.0
18,167273,1/1/2014,10:16:24,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
19,167274,1/1/2014,10:16:56,MILK 500ML  ,MILK,2.0,19.0,38.0
20,167275,1/1/2014,10:18:10,EGG         ,EGG,6.0,4.5,27.0
21,167275,1/1/2014,10:18:10,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
22,167275,1/1/2014,10:18:10,SUGAR 500GM ,SUGAR,1.0,19.0,19.0
23,167276,1/1/2014,10:19:41,EGG         ,EGG,12.0,4.5,54.0
24,167276,1/1/2014,10:19:41,CADBURY DAIRY MILK,CHOCOLATE,1.0,10.0,10.0
25,167276,1/1/2014,10:19:41,BRITANNIA MILK ALMOND,BISCUITS,1.0,14.0,14.0
26,167277,1/1/2014,10:20:13,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
27,167277,1/1/2014,10:20:13,MAGGI MASALA,NOODLES,4.0,10.0,40.0
28,167278,1/1/2014,10:21:22,COCONUT 1P  ,COCONUT,1.0,17.0,17.0
29,167279,1/1/2014,10:21:31,NESTLE FRESH*N* NATURAL DAHI,CHOCOLATE,1.0,20.0,20.0
30,167280,1/1/2014,10:25:23,MILK 500ML  ,MILK,3.0,24.0,72.0
31,167280,1/1/2014,10:25:23,MILK 500ML  ,MILK,5.0,19.0,95.0
32,167280,1/1/2014,10:25:23,ACT II POPCORN,POPCORN,2.0,20.0,40.0
33,167280,1/1/2014,10:25:23,MAGGI NOODLE CHILLY CHOW,NOODLES,2.0,20.0,40.0
34,167280,1/1/2014,10:25:23,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
35,167280,1/1/2014,10:25:23,SAFFOLA OATS,CEREAL,3.0,15.0,45.0
36,167280,1/1/2014,10:25:23,HALDIRAM`S 3,SNACKS,1.0,80.0,80.0
37,167281,1/1/2014,10:25:48,COCONUT 1P  ,COCONUT,1.0,17.0,17.0
38,167281,1/1/2014,10:25:48,SUNDROP 1LTR,COOKING OIL,1.0,170.0,170.0
39,167282,1/1/2014,10:26:28,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
40,167283,1/1/2014,10:27:29,EXCELL RC 1,RECHARGE,220.0,1.0,220.0
