,BillNo,Date,Time,Description,Quantity,Rate,Amount
0,167260,1/1/2014,21:27:30,KINLEY WATER,2.0,30.0,60.0
1,167261,1/1/2014,21:29:09,TATA SALT 1K,1.0,16.0,16.0
2,167262,1/1/2014,9:48:46,I D DOSA BAT,1.0,45.0,45.0
3,167263,1/1/2014,9:59:35,CARRY BAG   ,1.0,2.0,2.0
4,167263,1/1/2014,9:59:35,MILK 500ML  ,3.0,19.0,57.0
5,167264,1/1/2014,10:00:15,MILK 500ML  ,5.0,19.0,95.0
6,167265,1/1/2014,10:07:08,SURF EXCEL A,1.0,197.0,197.0
7,167265,1/1/2014,10:07:08,PAMPERS XL 1,1.0,274.0,274.0
8,167265,1/1/2014,10:07:08,VIM BAR 265G,1.0,43.0,43.0
9,167266,1/1/2014,10:08:00,B RAVA 1KG  ,1.0,38.0,38.0
10,167266,1/1/2014,10:08:00,EGG         ,12.0,4.5,54.0
11,167267,1/1/2014,10:08:23,BAMBINO VARM,1.0,52.0,52.0
12,167268,1/1/2014,10:09:26,BRITANNIA FR,1.0,15.0,15.0
13,167269,1/1/2014,10:10:12,5050 MASKA ,1.0,20.0,20.0
14,167269,1/1/2014,10:10:12,MILK 500ML  ,2.0,19.0,38.0
15,167270,1/1/2014,10:11:43,COCONUT 1P  ,2.0,17.0,34.0
16,167271,1/1/2014,10:13:41,MILK 500ML  ,2.0,19.0,38.0
17,167271,1/1/2014,10:13:41,WHISPER ULTR,1.0,290.0,290.0
18,167272,1/1/2014,10:14:42,KURKURE 10/,1.0,10.0,10.0
19,167273,1/1/2014,10:16:24,BRITANNIA WH,1.0,26.0,26.0
20,167274,1/1/2014,10:16:56,MILK 500ML  ,2.0,19.0,38.0
21,167275,1/1/2014,10:18:10,EGG         ,6.0,4.5,27.0
22,167275,1/1/2014,10:18:10,BRITANNIA WH,1.0,26.0,26.0
23,167275,1/1/2014,10:18:10,SUGAR 500GM ,1.0,19.0,19.0
24,167276,1/1/2014,10:19:41,EGG         ,12.0,4.5,54.0
25,167276,1/1/2014,10:19:41,CADBURY DAIR,1.0,10.0,10.0
26,167276,1/1/2014,10:19:41,BRITANNIA MI,1.0,14.0,14.0
27,167277,1/1/2014,10:20:13,BRITANNIA BR,1.0,26.0,26.0
28,167277,1/1/2014,10:20:13,MAGGI MASALA,4.0,10.0,40.0
29,167278,1/1/2014,10:21:22,COCONUT 1P  ,1.0,17.0,17.0
30,167279,1/1/2014,10:21:31,NESTLE FRESH,1.0,20.0,20.0
31,167280,1/1/2014,10:25:23,MILK 500ML  ,3.0,24.0,72.0
32,167280,1/1/2014,10:25:23,MILK 500ML  ,5.0,19.0,95.0
33,167280,1/1/2014,10:25:23,ACT II POPCO,2.0,20.0,40.0
34,167280,1/1/2014,10:25:23,MAGGI NOODLE,2.0,20.0,40.0
35,167280,1/1/2014,10:25:23,BRITANNIA BR,1.0,26.0,26.0
36,167280,1/1/2014,10:25:23,SAFFOLA OATS,3.0,15.0,45.0
37,167280,1/1/2014,10:25:23,HALDIRAM`S 3,1.0,80.0,80.0
38,167281,1/1/2014,10:25:48,COCONUT 1P  ,1.0,17.0,17.0
39,167281,1/1/2014,10:25:48,SUNDROP 1LTR,1.0,170.0,170.0
40,167282,1/1/2014,10:26:28,BRITANNIA BR,1.0,26.0,26.0
41,167283,1/1/2014,10:27:29,EXCELL RC 1,220.0,1.0,220.0
42,167284,1/1/2014,10:28:28,VODAFONE EAS,100.0,1.0,100.0
43,167285,1/1/2014,10:29:00,BRITANNIA WH,1.0,26.0,26.0
44,167285,1/1/2014,10:29:00,MILK 500ML  ,2.0,19.0,38.0
45,167286,1/1/2014,10:29:40,I D DOSA BAT,1.0,45.0,45.0
46,167287,1/1/2014,10:30:13,PARLE G 250G,1.0,10.0,10.0
47,167287,1/1/2014,10:30:13,KAMAL NAMKEE,1.0,17.0,17.0
48,167288,1/1/2014,10:31:41,NOTE  BOOK  ,12.0,1.0,12.0
49,167288,1/1/2014,10:31:41,C C IDLY BAT,1.0,51.0,51.0
50,167288,1/1/2014,10:31:41,MILK 500ML  ,2.0,19.0,38.0
51,167288,1/1/2014,10:31:41,EVEREST KASU,1.0,22.0,22.0
52,167288,1/1/2014,10:31:41,COLGATE ACTI,1.0,44.0,44.0
53,167288,1/1/2014,10:31:41,BRITANNIA WH,1.0,26.0,26.0
54,167289,1/1/2014,10:33:44,SURF EXCEL B,1.0,68.0,68.0
55,167289,1/1/2014,10:33:44,VIM DROP LIQ,1.0,37.0,37.0
56,167290,1/1/2014,10:34:54,MILK 500ML  ,5.0,19.0,95.0
57,167290,1/1/2014,10:34:54,LG ASAFOETID,1.0,51.5,51.5
58,167290,1/1/2014,10:34:54,B RAVA 500GM,1.0,19.0,19.0
59,167291,1/1/2014,10:35:32,GOOD DAY CAS,1.0,30.0,30.0
60,167292,1/1/2014,10:35:53,BRITANNIA BR,1.0,26.0,26.0
61,167292,1/1/2014,10:35:53,VIM BAR 200G,1.0,15.0,15.0
62,167293,1/1/2014,10:37:27,VIJAYA SUNFL,1.0,89.0,89.0
63,167293,1/1/2014,10:37:27,VEET HAIR RE,1.0,49.0,49.0
64,167293,1/1/2014,10:37:27,MAGGI MASALA,1.0,40.0,40.0
65,167293,1/1/2014,10:37:27,COLGATE 150G,1.0,52.0,52.0
66,167293,1/1/2014,10:37:27,BRITANNIA BU,1.0,13.0,13.0
67,167294,1/1/2014,10:40:47,EGG         ,6.0,4.5,27.0
68,167295,1/1/2014,10:42:19,EGG         ,25.0,4.5,112.5
69,167295,1/1/2014,10:42:19,TOOR DALL 1K,1.0,84.0,84.0
70,167295,1/1/2014,10:42:19,BRU INSTANT ,1.0,80.0,80.0
71,167295,1/1/2014,10:42:19,AMUL FRESH C,1.0,40.0,40.0
72,167295,1/1/2014,10:42:19,ONIONS      ,1.5,25.0,37.5
73,167296,1/1/2014,10:43:17,PIM POM LOLL,1.0,3.0,3.0
74,167296,1/1/2014,10:43:17,COLGATE 200G,1.0,156.0,156.0
75,167296,1/1/2014,10:43:17,COLGATE 360 ,1.0,110.0,110.0
76,167297,1/1/2014,10:44:14,COCACOLA 60,1.0,35.0,35.0
77,167297,1/1/2014,10:44:14,ELITE DREAMS,2.0,45.0,90.0
78,167297,1/1/2014,10:44:14,KURKURE 10/,4.0,10.0,40.0
79,167298,1/1/2014,10:45:03,EGG         ,12.0,4.5,54.0
80,167299,1/1/2014,10:45:30,ONIONS      ,0.5,25.0,12.5
81,167300,1/1/2014,10:46:15,MILK 500ML  ,4.0,19.0,76.0
82,167300,1/1/2014,10:46:15,BRITANNIA BO,1.0,25.0,25.0
83,167301,1/1/2014,10:47:46,DHANALAXMI G,1.0,60.0,60.0
84,167301,1/1/2014,10:47:46,HERITAGE DOO,2.0,70.0,140.0
85,167301,1/1/2014,10:47:46,SAFFOLA KARD,1.0,107.0,107.0
86,167301,1/1/2014,10:47:46,ALL OUT REFI,1.0,56.0,56.0
87,167301,1/1/2014,10:47:46,GOOD KNIGHT ,1.0,49.0,49.0
88,167302,1/1/2014,10:49:35,SUNFEAST ORA,2.0,20.0,40.0
89,167302,1/1/2014,10:49:35,HALDIRAM`S R,1.0,160.0,160.0
90,167303,1/1/2014,10:49:52,ONIONS      ,2.0,25.0,50.0
91,167304,1/1/2014,10:51:30,MILK 500ML  ,4.0,19.0,76.0
92,167305,1/1/2014,10:53:24,TOOR DALL 2K,1.0,168.0,168.0
93,167305,1/1/2014,10:53:24,ANDHRA COFFE,1.0,170.0,170.0
94,167305,1/1/2014,10:53:24,KELLOGG`S HO,1.0,117.0,117.0
