,BillNo,Date,Time,Description,Quantity,Rate,Amount
0,174527,1/2/2014,8:59:04,BRITANNIA,1.0,26.0,26.0
1,174528,1/2/2014,9:04:14,MILK 500ML,1.0,19.0,19.0
2,174528,1/2/2014,9:04:14,VIJAYA,1.0,98.0,98.0
3,174529,1/2/2014,9:05:41,BOOMER,1.0,6.0,6.0
4,174530,1/2/2014,9:11:58,C C,1.0,51.0,51.0
5,174531,1/2/2014,9:12:49,BRITANNIA,1.0,10.0,10.0
6,174531,1/2/2014,9:12:49,MILK 500ML,1.0,19.0,19.0
7,174532,1/2/2014,9:13:31,TIL,1.0,64.0,64.0
8,174533,1/2/2014,9:14:03,TIL,1.0,32.0,32.0
9,174534,1/2/2014,9:15:16,EGG,6.0,4.5,27.0
10,174535,1/2/2014,9:16:02,MILK 500ML,2.0,19.0,38.0
11,174536,1/2/2014,9:16:25,K SANAGALU,1.0,46.0,46.0
12,174536,1/2/2014,9:16:25,KAMAL,2.0,25.0,50.0
13,174537,1/2/2014,9:19:25,BRITANNIA,1.0,26.0,26.0
14,174538,1/2/2014,9:22:30,NOTE  BOOK,60.0,1.0,60.0
15,174538,1/2/2014,9:22:30,NESTLE,1.0,50.0,50.0
16,174538,1/2/2014,9:22:30,KAMAL,3.0,15.0,45.0
17,174538,1/2/2014,9:22:30,I D,1.0,45.0,45.0
18,174539,1/2/2014,9:23:08,COCONUT,1.0,15.0,15.0
19,174539,1/2/2014,9:23:08,GROUND,1.0,22.0,22.0
20,174540,1/2/2014,9:23:26,TIDE,1.0,39.0,39.0
21,174541,1/2/2014,9:23:54,BAMBINO,1.0,64.0,64.0
22,174541,1/2/2014,9:23:54,MILK 500ML,2.0,19.0,38.0
23,174542,1/2/2014,9:24:17,BRITANNIA,1.0,26.0,26.0
24,174542,1/2/2014,9:24:17,HERITAGE,1.0,38.0,38.0
25,174542,1/2/2014,9:24:17,MTR,1.0,34.0,34.0
26,174543,1/2/2014,9:24:39,COLGATE,1.0,17.0,17.0
27,174543,1/2/2014,9:24:39,MILK 500ML,8.0,19.0,152.0
28,174546,1/2/2014,9:26:43,BRITANNIA,1.0,10.0,10.0
29,174546,1/2/2014,9:26:43,COCONUT,1.0,15.0,15.0
30,174547,1/2/2014,9:26:56,MILK 500ML,5.0,19.0,95.0
31,174548,1/2/2014,9:31:05,TIC TAC MINT,1.0,10.0,10.0
32,174548,1/2/2014,9:31:05,COCONUT,1.0,15.0,15.0
33,174549,1/2/2014,9:34:20,KURNOOL RICE,1.0,92.0,92.0
34,174549,1/2/2014,9:34:20,EGG,6.0,4.5,27.0
35,174549,1/2/2014,9:34:20,BRITANNIA,1.0,26.0,26.0
36,174549,1/2/2014,9:34:20,PARLE,2.0,25.0,50.0
37,174549,1/2/2014,9:34:20,PARLE,2.0,25.0,50.0
38,174550,1/2/2014,9:35:35,MILK 500ML,1.0,19.0,19.0
39,174550,1/2/2014,9:35:35,SARA,1.0,220.0,220.0
40,174551,1/2/2014,9:36:01,AMUL,1.0,34.0,34.0
41,174551,1/2/2014,9:36:01,BRITANNIA,1.0,26.0,26.0
42,174552,1/2/2014,9:36:44,MILK 500ML,1.0,19.0,19.0
43,174553,1/2/2014,9:37:02,COLGATE,1.0,39.0,39.0
44,174554,1/2/2014,9:41:56,KIS,1.0,14.0,14.0
45,174554,1/2/2014,9:41:56,DHANALAXMI,1.0,45.0,45.0
46,174555,1/2/2014,9:42:25,NESTLE,1.0,25.0,25.0
47,174555,1/2/2014,9:42:25,COCONUT,1.0,15.0,15.0
48,174556,1/2/2014,9:48:26,AMUL,1.0,34.0,34.0
49,174557,1/2/2014,9:50:48,BRITANNIA,1.0,17.0,17.0
50,174557,1/2/2014,9:50:48,MILK 500ML,5.0,19.0,95.0
51,174557,1/2/2014,9:50:48,BRITANNIA,1.0,26.0,26.0
52,174558,1/2/2014,9:51:00,EGG,12.0,4.5,54.0
53,174559,1/2/2014,9:54:20,PRIYA,1.0,86.0,86.0
54,174559,1/2/2014,9:54:20,PILLSBURY,1.0,48.0,48.0
55,174559,1/2/2014,9:54:20,SUGAR,1.0,19.0,19.0
56,174559,1/2/2014,9:54:20,TOOR,1.0,42.0,42.0
57,174559,1/2/2014,9:54:20,EVER,1.0,18.0,18.0
58,174559,1/2/2014,9:54:20,EVEREST,1.0,18.0,18.0
59,174559,1/2/2014,9:54:20,BROWN,1.0,35.0,35.0
60,174559,1/2/2014,9:54:20,MILK 500ML,2.0,19.0,38.0
61,174559,1/2/2014,9:54:20,ONIONS,0.5,20.0,10.0
62,174560,1/2/2014,9:55:22,COCONUT,2.0,15.0,30.0
63,174561,1/2/2014,9:56:05,CADBURY,1.0,35.0,35.0
64,174561,1/2/2014,9:56:05,SUNDROP,1.0,180.0,180.0
65,174561,1/2/2014,9:56:05,AASHIRVAAD,1.0,50.0,50.0
66,174561,1/2/2014,9:56:05,MOONG,1.0,48.0,48.0
67,174561,1/2/2014,9:56:05,COCONUT,2.0,15.0,30.0
68,174561,1/2/2014,9:56:05,HERITAGE,1.0,38.0,38.0
69,174562,1/2/2014,9:59:35,LAYS,2.0,10.0,20.0
70,174562,1/2/2014,9:59:35,BRITANNIA,1.0,10.0,10.0
71,174562,1/2/2014,9:59:35,BRITANNIA,1.0,13.0,13.0
72,174563,1/2/2014,10:00:31,MOONG,1.0,48.0,48.0
73,174563,1/2/2014,10:00:31,EGG,12.0,4.5,54.0
74,174564,1/2/2014,10:03:13,WOODEN,1.0,25.0,25.0
75,174564,1/2/2014,10:03:13,APSARA,1.0,3.0,3.0
76,174564,1/2/2014,10:03:13,DURGA,1.0,90.0,90.0
77,174564,1/2/2014,10:03:13,MILK 500ML,2.0,19.0,38.0
78,174565,1/2/2014,10:03:32,MILK 500ML,1.0,19.0,19.0
79,174566,1/2/2014,10:03:49,DOVE,2.0,44.0,88.0
80,174566,1/2/2014,10:03:49,MILK 500ML,2.0,19.0,38.0
81,174567,1/2/2014,10:05:13,EGG,12.0,4.5,54.0
82,174568,1/2/2014,10:08:40,BRITANNIA,1.0,10.0,10.0
83,174569,1/2/2014,10:10:52,DAIRY MILK,2.0,2.0,4.0
84,174569,1/2/2014,10:10:52,BRITANNIA,1.0,26.0,26.0
85,174570,1/2/2014,10:11:49,SNICKERS SIN,1.0,15.0,15.0
86,174570,1/2/2014,10:11:49,KAMAL,1.0,15.0,15.0
87,174571,1/2/2014,10:13:06,BRITANNIA,1.0,26.0,26.0
88,174571,1/2/2014,10:13:06,SABENA,1.0,22.0,22.0
89,174571,1/2/2014,10:13:06,QUAKER,1.0,37.0,37.0
90,174571,1/2/2014,10:13:06,KIS,1.0,48.0,48.0
91,174571,1/2/2014,10:13:06,KISSAN,1.0,48.0,48.0
92,174572,1/2/2014,10:14:38,CADBURY,2.0,1.0,2.0
93,174572,1/2/2014,10:14:38,CADBURY,1.0,20.0,20.0
94,174572,1/2/2014,10:14:38,MILK 500ML,6.0,19.0,114.0
95,174572,1/2/2014,10:14:38,CHUDUVA,1.0,44.0,44.0
96,174573,1/2/2014,10:15:21,EGG,11.0,4.5,49.5
97,174573,1/2/2014,10:15:21,BRITANNIA,1.0,26.0,26.0
98,174573,1/2/2014,10:15:21,MILK 500ML,3.0,19.0,57.0
99,174573,1/2/2014,10:15:21,HERITAGE,1.0,38.0,38.0
100,174574,1/2/2014,10:15:56,BRITANNIA,1.0,26.0,26.0
101,174575,1/2/2014,10:16:30,TOOR,1.0,84.0,84.0
102,174575,1/2/2014,10:16:30,MILK 500ML,5.0,19.0,95.0
103,174575,1/2/2014,10:16:30,COCONUT,1.0,15.0,15.0
104,174576,1/2/2014,10:16:52,KIWI,2.0,15.0,30.0
105,174576,1/2/2014,10:16:52,JEERA,1.0,25.0,25.0
106,174576,1/2/2014,10:16:52,PRIYA,1.0,34.0,34.0
107,174577,1/2/2014,10:21:09,HALDIRAM,3.0,10.0,30.0
108,174577,1/2/2014,10:21:09,HALDIRAM`S,3.0,10.0,30.0
109,174577,1/2/2014,10:21:09,HALDI,3.0,10.0,30.0
110,174577,1/2/2014,10:21:09,UNCLE CHIPS,1.0,10.0,10.0
111,174577,1/2/2014,10:21:09,BINGO CHIPS,1.0,20.0,20.0
112,174577,1/2/2014,10:21:09,BOOST,1.0,18.0,18.0
113,174577,1/2/2014,10:21:09,BRITANNIA,1.0,15.0,15.0
114,174577,1/2/2014,10:21:09,I D,1.0,45.0,45.0
115,174577,1/2/2014,10:21:09,MILK 500ML,2.0,19.0,38.0
116,174577,1/2/2014,10:21:09,HERITAGE,2.0,38.0,76.0
117,174578,1/2/2014,10:22:01,MILK 500ML,5.0,19.0,95.0
118,174579,1/2/2014,10:23:06,EGG,4.0,4.5,18.0
119,174579,1/2/2014,10:23:06,CADBURY,1.0,35.0,35.0
120,174579,1/2/2014,10:23:06,BRITANNIA,1.0,26.0,26.0
121,174580,1/2/2014,10:24:28,SAKTHI GHEE,1.0,47.0,47.0
122,174580,1/2/2014,10:24:28,MILK 500ML,2.0,19.0,38.0
123,174581,1/2/2014,10:24:48,MAGGI,1.0,20.0,20.0
124,174582,1/2/2014,10:28:54,NESTLE,2.0,5.0,10.0
125,174582,1/2/2014,10:28:54,NESTLE,1.0,10.0,10.0
126,174582,1/2/2014,10:28:54,CADBURY,3.0,35.0,105.0
127,174582,1/2/2014,10:28:54,OREO,1.0,30.0,30.0
128,174582,1/2/2014,10:28:54,DARK,1.0,30.0,30.0
129,174582,1/2/2014,10:28:54,SUNFEAST,1.0,10.0,10.0
130,174582,1/2/2014,10:28:54,LAYS,1.0,20.0,20.0
131,174582,1/2/2014,10:28:54,CHEETOS 10/,1.0,10.0,10.0
132,174582,1/2/2014,10:28:54,KURKURE,1.0,10.0,10.0
133,174583,1/2/2014,10:31:07,EGG,12.0,4.5,54.0
134,174583,1/2/2014,10:31:07,HALDIRAM,1.0,25.0,25.0
135,174583,1/2/2014,10:31:07,HALDIRAM`S,1.0,25.0,25.0
136,174583,1/2/2014,10:31:07,HALDI,1.0,25.0,25.0
137,174583,1/2/2014,10:31:07,KARA,1.0,160.0,160.0
138,174583,1/2/2014,10:31:07,KARACHI,1.0,160.0,160.0
139,174583,1/2/2014,10:31:07,AZANMOTO 20G,1.0,4.0,4.0
140,174583,1/2/2014,10:31:07,ACT,1.0,25.0,25.0
141,174584,1/2/2014,10:32:51,AASIRVAAD,1.0,44.0,44.0
142,174584,1/2/2014,10:32:51,IDLI RAVA NO,1.0,26.0,26.0
143,174585,1/2/2014,10:33:37,I D,1.0,45.0,45.0
144,174585,1/2/2014,10:33:37,MILK 500ML,2.0,19.0,38.0
145,174585,1/2/2014,10:33:37,RAI,1.0,12.0,12.0
146,174585,1/2/2014,10:33:37,SUGAR,1.0,38.0,38.0
