BillNo,Date,Time,Description,Quantity,Rate,Amount
189407,1/4/2014,20:22:30,I D DOSA BAT,1,45,45
189407,1/4/2014,20:22:30,HERITAGE CUR,1,40,40
189407,1/4/2014,20:22:30,SPRITE 750ML,1,35,35
189408,1/4/2014,20:22:57,HERITAGE CUR,1,40,40
189408,1/4/2014,20:22:57,BUTTER MILK ,1,6,6
189409,1/4/2014,20:24:29,GOOD DAY CAS,2,30,60
189410,1/4/2014,20:25:05,CROWN JEERA ,6,15,90
189411,1/4/2014,20:25:56,BRITANNIA OR,1,25,25
189411,1/4/2014,20:25:56,SPRITE 750ML,1,35,35
189411,1/4/2014,20:25:56,NESTLE KITKA,1,20,20
189412,1/4/2014,20:29:04,POLO BIG 5/,1,45,45
189412,1/4/2014,20:29:04,FEAST FRUIT ,1,35,35
189412,1/4/2014,20:29:04,FEAST FRUTTA,2,20,40
189412,1/4/2014,20:29:04,MESWAK TOOTH,1,44,44
189412,1/4/2014,20:29:04,COLGATE 360 ,1,75,75
189413,1/4/2014,20:30:17,WIPRO BULB 1,1,16,16
189414,1/4/2014,20:30:30,MILK 500ML  ,2,21,42
189415,1/4/2014,20:31:15,EGG         ,12,4,48
189415,1/4/2014,20:31:15,C C DOSA BAT,1,51,51
189416,1/4/2014,20:31:28,NOTE  BOOK  ,15,1,15
189417,1/4/2014,20:32:16,COCONUT 1P  ,1,16,16
189417,1/4/2014,20:32:16,ORAL B CLASS,1,24,24
189417,1/4/2014,20:32:16,MILK 500ML  ,1,21,21
189417,1/4/2014,20:32:16,HERITAGE CUR,1,40,40
189417,1/4/2014,20:32:16,EGG         ,12,4,48
189417,1/4/2014,20:32:16,SABENA 1KG  ,1,22,22
189418,1/4/2014,20:32:46,COCACOLA 75,1,35,35
189419,1/4/2014,20:33:42,PARTY PACK 7,1,190,190
189419,1/4/2014,20:33:42,MILK 500ML  ,2,21,42
189420,1/4/2014,20:34:02,REVLON TOP S,1,625,625
189421,1/4/2014,20:34:19,CORNETTO BUT,1,35,35
189421,1/4/2014,20:34:19,VANILLA ICE ,1,12,12
189422,1/4/2014,20:37:13,EGG         ,12,4,48
189423,1/4/2014,20:41:18,MILK 500ML  ,1,21,21
189424,1/4/2014,20:43:08,HERITAGE CUR,1,40,40
189424,1/4/2014,20:43:08,MEERA SHAMPO,10,3,30
189425,1/4/2014,20:46:28,CARRY BAG   ,1,3,3
189425,1/4/2014,20:46:28,CORNETTO CHO,1,45,45
189425,1/4/2014,20:46:28,MAGNUM ICE C,5,85,425
189425,1/4/2014,20:46:28,MAGNUM ICE C,1,85,85
189426,1/4/2014,20:47:43,BROWN COVERS,1,40,40
189427,1/4/2014,20:47:51,LAYS 10/   ,1,10,10
189428,1/4/2014,9:41:22,CARRY BAG   ,1,3,3
189428,1/4/2014,9:41:22,GODREJ NUPUR,1,45,45
189428,1/4/2014,9:41:22,SURF EXCEL B,1,68,68
189428,1/4/2014,9:41:22,POLO EXCLUSI,1,45,45
189428,1/4/2014,9:41:22,ELITE DREAMS,1,50,50
189428,1/4/2014,9:41:22,3 ROSES TEA ,1,43,43
189428,1/4/2014,9:41:22,I D DOSA BAT,1,45,45
189428,1/4/2014,9:41:22,TANG 125G   ,1,30,30
189428,1/4/2014,9:41:22,ANOOS HAIR C,1,35,35
189428,1/4/2014,9:41:22,MAAZA 200ML ,2,12,24
189428,1/4/2014,9:41:22,NIVEA DEO 15,1,175,175
189428,1/4/2014,9:41:22,SURF EXCEL A,1,114,114
189429,1/4/2014,9:42:56,EGG         ,6,4,24
189429,1/4/2014,9:42:56,POLO EXCLUSI,1,45,45
189429,1/4/2014,9:42:56,MEDIMIX AYUR,1,30,30
189429,1/4/2014,9:42:56,WHISPER ULTR,1,140,140
189429,1/4/2014,9:42:56,SUNSILK COND,1,112,112
189429,1/4/2014,9:42:56,MILK 500ML  ,4,21,84
189430,1/4/2014,9:44:11,NESTLE FRESH,1,50,50
189431,1/4/2014,9:44:30,MILK 500ML  ,2,21,42
189432,1/4/2014,9:45:39,TATA DOCOMO ,50,1,50
189433,1/4/2014,9:50:22,IDEA CARD 1/,50,1,50
189434,1/4/2014,9:50:44,KELLOGG`S HO,1,51,51
189434,1/4/2014,9:50:44,NESTLE FRESH,1,50,50
189434,1/4/2014,9:50:44,MILK 500ML  ,2,21,42
189435,1/4/2014,9:51:27,EGG         ,6,4,24
189436,1/4/2014,9:53:38,RAI SMALL 10,1,12,12
189436,1/4/2014,9:53:38,MILK 500ML  ,3,21,63
189437,1/4/2014,9:56:04,EGG         ,8,4,32
189437,1/4/2014,9:56:04,ONIONS      ,2,15,30
189437,1/4/2014,9:56:04,TOOR DALL 50,1,42,42
189438,1/4/2014,9:56:50,EGG         ,6,4,24
189438,1/4/2014,9:56:50,BRITANNIA MI,1,14,14
189438,1/4/2014,9:56:50,NESTLE TONED,1,74,74
189439,1/4/2014,9:57:57,NOTE  BOOK  ,22,1,22
189439,1/4/2014,9:57:57,LAYS 20/   ,1,20,20
189439,1/4/2014,9:57:57,JEERA 200G  ,1,50,50
