BillNo,Date,Time,Description,Quantity,Rate,Amount
174527,1/2/2014,8:59:04,BRITANNIA SA,1,26,26
174528,1/2/2014,9:04:14,MILK 500ML  ,1,19,19
174528,1/2/2014,9:04:14,VIJAYA GROUN,1,98,98
174529,1/2/2014,9:05:41,BOOMER      ,1,6,6
174530,1/2/2014,9:11:58,C C IDLY BAT,1,51,51
174531,1/2/2014,9:12:49,BRITANNIA GO,1,10,10
174531,1/2/2014,9:12:49,MILK 500ML  ,1,19,19
174532,1/2/2014,9:13:31,TIL NYLON(OR),1,64,64
174533,1/2/2014,9:14:03,TIL NYLON(OR),1,32,32
174534,1/2/2014,9:15:16,EGG         ,6,4.5,27
174535,1/2/2014,9:16:02,MILK 500ML  ,2,19,38
174536,1/2/2014,9:16:25,K SANAGALU 5,1,46,46
174536,1/2/2014,9:16:25,KAMAL RICE P,2,25,50
174537,1/2/2014,9:19:25,BRITANNIA SA,1,26,26
174538,1/2/2014,9:22:30,NOTE  BOOK  ,60,1,60
174538,1/2/2014,9:22:30,NESTLE FRESH,1,50,50
174538,1/2/2014,9:22:30,KAMAL NAMKEE,3,15,45
174538,1/2/2014,9:22:30,I D DOSA BAT,1,45,45
174539,1/2/2014,9:23:08,COCONUT 1P  ,1,15,15
174539,1/2/2014,9:23:08,GROUND NUT 2,1,22,22
174540,1/2/2014,9:23:26,TIDE 1KG    ,1,39,39
174541,1/2/2014,9:23:54,BAMBINO GULA,1,64,64
174541,1/2/2014,9:23:54,MILK 500ML  ,2,19,38
174542,1/2/2014,9:24:17,BRITANNIA WH,1,26,26
174542,1/2/2014,9:24:17,HERITAGE CUR,1,38,38
174542,1/2/2014,9:24:17,MTR DOSA MIX,1,34,34
174543,1/2/2014,9:24:39,COLGATE ACTI,1,17,17
174543,1/2/2014,9:24:39,MILK 500ML  ,8,19,152
174546,1/2/2014,9:26:43,BRITANNIA BO,1,10,10
174546,1/2/2014,9:26:43,COCONUT 1P  ,1,15,15
174547,1/2/2014,9:26:56,MILK 500ML  ,5,19,95
174548,1/2/2014,9:31:05,TIC TAC MINT,1,10,10
174548,1/2/2014,9:31:05,COCONUT 1P  ,1,15,15
174549,1/2/2014,9:34:20,KURNOOL RICE,1,92,92
174549,1/2/2014,9:34:20,EGG         ,6,4.5,27
174549,1/2/2014,9:34:20,BRITANNIA MI,1,26,26
174549,1/2/2014,9:34:20,PARLE HIDE &,2,25,50
174550,1/2/2014,9:35:35,MILK 500ML  ,1,19,19
