BillNo,Date,Time,Description,Quantity,Rate,Amount
00167260,01/01/2014,21:27:30,KINLEY WATER,   2.00,     30.00,     60.00
00167261,01/01/2014,21:29:09,TATA SALT 1K,   1.00,     16.00,     16.00
00167262,01/01/2014,09:48:46,I D DOSA BAT,   1.00,     45.00,     45.00
00167263,01/01/2014,09:59:35,CARRY BAG   ,   1.00,      2.00,      2.00
00167263,01/01/2014,09:59:35,MILK 500ML  ,   3.00,     19.00,     57.00
00167264,01/01/2014,10:00:15,MILK 500ML  ,   5.00,     19.00,     95.00
00167265,01/01/2014,10:07:08,SURF EXCEL A,   1.00,    197.00,    197.00
00167265,01/01/2014,10:07:08,PAMPERS XL 1,   1.00,    274.00,    274.00
00167265,01/01/2014,10:07:08,VIM BAR 265G,   1.00,     43.00,     43.00
00167266,01/01/2014,10:08:00,B RAVA 1KG  ,   1.00,     38.00,     38.00
00167266,01/01/2014,10:08:00,EGG         ,  12.00,      4.50,     54.00
00167267,01/01/2014,10:08:23,BAMBINO VARM,   1.00,     52.00,     52.00
00167268,01/01/2014,10:09:26,BRITANNIA FR,   1.00,     15.00,     15.00
00167269,01/01/2014,10:10:12,5050 MASKA ,   1.00,     20.00,     20.00
00167269,01/01/2014,10:10:12,MILK 500ML  ,   2.00,     19.00,     38.00
00167270,01/01/2014,10:11:43,COCONUT 1P  ,   2.00,     17.00,     34.00
00167271,01/01/2014,10:13:41,MILK 500ML  ,   2.00,     19.00,     38.00
00167271,01/01/2014,10:13:41,WHISPER ULTR,   1.00,    290.00,    290.00
00167272,01/01/2014,10:14:42,KURKURE 10/,   1.00,     10.00,     10.00
00167273,01/01/2014,10:16:24,BRITANNIA WH,   1.00,     26.00,     26.00
00167274,01/01/2014,10:16:56,MILK 500ML  ,   2.00,     19.00,     38.00
00167275,01/01/2014,10:18:10,EGG         ,   6.00,      4.50,     27.00
00167275,01/01/2014,10:18:10,BRITANNIA WH,   1.00,     26.00,     26.00
00167275,01/01/2014,10:18:10,SUGAR 500GM ,   1.00,     19.00,     19.00
00167276,01/01/2014,10:19:41,EGG         ,  12.00,      4.50,     54.00
00167276,01/01/2014,10:19:41,CADBURY DAIR,   1.00,     10.00,     10.00
00167276,01/01/2014,10:19:41,BRITANNIA MI,   1.00,     14.00,     14.00
00167277,01/01/2014,10:20:13,BRITANNIA BR,   1.00,     26.00,     26.00
