BillNo,Date,Time,Description,Quantity,Rate,Amount
203283,1/6/2014,20:33:37,CROWN JEERA ,1,20,20
203283,1/6/2014,20:33:37,HALDIRAM`S 8,5,10,50
203284,1/6/2014,20:35:08,CADBURY ECLA,3,1,3
203284,1/6/2014,20:35:08,BRITANNIA BO,1,12,12
203284,1/6/2014,20:35:08,GOOD DAY PIS,1,20,20
203284,1/6/2014,20:35:08,WOMEN`S HORL,1,235,235
203284,1/6/2014,20:35:08,MAGGI MASALA,3,10,30
203285,1/6/2014,20:37:36,AASIRVAAD AT,2,44,88
203285,1/6/2014,20:37:36,KURNOOL RICE,1,260,260
203285,1/6/2014,20:37:36,FEAST CHOCOL,8,20,160
203286,1/6/2014,20:38:01,ONIONS      ,1.5,20,30
203287,1/6/2014,20:43:51,HERITAGE PAN,1,70,70
203288,1/6/2014,20:44:17,DOVE SOAP 75,1,45,45
203288,1/6/2014,20:44:17,MARGO SOAP 1,2,24,48
203289,1/6/2014,20:46:47,BRITANNIA MI,1,26,26
203289,1/6/2014,20:46:47,AMUL BUTTER ,1,36,36
203289,1/6/2014,20:46:47,TOOR DALL 1K,1,84,84
203289,1/6/2014,20:46:47,HALDIRAM`S 3,1,76,76
203290,1/6/2014,20:47:26,KURKURE 20/,1,20,20
203290,1/6/2014,20:47:26,WHISPER MAXI,1,75,75
203291,1/6/2014,20:48:06,BUTTER MILK ,5,6,30
203291,1/6/2014,20:48:06,HERITAGE CUR,1,20,20
203292,1/6/2014,20:50:14,KAMAL RICE P,1,25,25
203293,1/6/2014,20:50:58,FANTA 750ML ,1,35,35
203293,1/6/2014,20:50:58,LIMCA 750ML ,1,35,35
203294,1/6/2014,20:53:02,PIM POM LOLL,1,5,5
203294,1/6/2014,20:53:02,TONGUE CLEAN,2,8,16
203295,1/6/2014,20:55:48,B RAVA 500GM,1,19,19
203296,1/6/2014,20:56:06,MILK 500ML  ,1,22,22
203297,1/6/2014,9:16:01,CADBURY DAIR,2,5,10
203297,1/6/2014,9:16:01,FREEDOM SUNF,1,88,88
203298,1/6/2014,9:16:35,MILK 500ML  ,8,22,176
203299,1/6/2014,9:18:12,RIN SUPEME 4,1,44,44
203299,1/6/2014,9:18:12,RIN SUPEME 4,1,42,42
203299,1/6/2014,9:18:12,KAMAL STARCH,1,60,60
203300,1/6/2014,9:18:41,PANTENE 100M,1,58.5,58.5
203301,1/6/2014,9:19:24,HERITAGE SWE,1,20,20
203301,1/6/2014,9:19:24,MILK 500ML  ,2,22,44
203302,1/6/2014,9:20:27,I D DOSA BAT,1,50,50
203303,1/6/2014,9:20:45,HERITAGE CUR,1,20,20
203304,1/6/2014,9:21:28,RIN SUPEME 1,2,10,20
203304,1/6/2014,9:21:28,PARACHUTE CO,1,31,31
203304,1/6/2014,9:21:28,SUGAR 500GM ,2,20,40
203305,1/6/2014,9:22:53,SHILPA GOLD ,1,8,8
203306,1/6/2014,9:23:54,MILK 500ML  ,1,22,22
203306,1/6/2014,9:23:54,BRITANNIA WH,1,30,30
203306,1/6/2014,9:23:54,I D DOSA BAT,1,50,50
203307,1/6/2014,9:24:48,GROUND NUT 2,1,19,19
203307,1/6/2014,9:24:48,TATA SALT 1K,1,17,17
203308,1/6/2014,9:25:35,RED CHILLI 1,1,16,16
203308,1/6/2014,9:25:35,WHEAT RAVA S,1,22,22
203309,1/6/2014,9:26:49,CARRY BAG   ,1,2,2
203309,1/6/2014,9:26:49,BRITANNIA BR,1,26,26
203309,1/6/2014,9:26:49,MILK 500ML  ,1,22,22
203309,1/6/2014,9:26:49,BRITANNIA NI,2,10,20
203310,1/6/2014,9:27:17,BUTTER MILK ,3,6,18
203310,1/6/2014,9:27:17,MILK 500ML  ,5,22,110
203311,1/6/2014,9:27:52,ENO 5G      ,5,6,30
203312,1/6/2014,9:28:15,EGG         ,13,4,52
203312,1/6/2014,9:28:15,KALA MIRCH 5,1,45,45
203312,1/6/2014,9:28:15,NESTLE MILK ,1,99,99
203312,1/6/2014,9:28:15,BRITANNIA BR,2,26,52
203313,1/6/2014,9:29:27,BRITANNIA SA,1,26,26
203314,1/6/2014,9:30:04,EGG         ,12,4,48
203315,1/6/2014,9:30:30,MILK 500ML  ,2,22,44
203315,1/6/2014,9:30:30,HERITAGE CUR,3,20,60
203316,1/6/2014,9:31:22,PRIYA RICE R,1,86,86
203316,1/6/2014,9:31:22,MASALA PAPAD,1,38,38
203317,1/6/2014,9:31:36,NESTLE BAR O,1,5,5
203317,1/6/2014,9:31:36,BRITANNIA BU,1,15,15
203318,1/6/2014,9:31:45,TROPICANA JU,1,20,20
203319,1/6/2014,9:31:54,FREEDOM SUNF,1,88,88
203320,1/6/2014,9:32:08,BRITANNIA BR,1,26,26
203321,1/6/2014,9:33:10,I D DOSA BAT,1,50,50
203322,1/6/2014,9:34:28,REVLON TOP S,1,625,625
203323,1/6/2014,9:38:26,EGG         ,6,4,24
203323,1/6/2014,9:38:26,MAGNUM ICE C,1,85,85
203324,1/6/2014,9:41:28,MILK 500ML  ,1,22,22
203325,1/6/2014,9:43:18,CADBURY ECLA,5,1,5
203325,1/6/2014,9:43:18,MAAZA 500+10,1,35,35
203326,1/6/2014,9:43:52,EGG         ,12,4,48
203327,1/6/2014,9:46:05,MAGGI MASALA,1,10,10
203327,1/6/2014,9:46:05,MILK 500ML  ,2,22,44
203327,1/6/2014,9:46:05,THUMS UP 1.5,1,52,52
203328,1/6/2014,9:47:37,LIZOL FLOOR ,1,62,62
203328,1/6/2014,9:47:37,PARACHUTE CO,2,240,480
203328,1/6/2014,9:47:37,KINLEY SODA ,1,18,18
203328,1/6/2014,9:47:37,THUMSUP 750M,1,35,35
203328,1/6/2014,9:47:37,GLUCOND 200,1,43,43
203328,1/6/2014,9:47:37,CHANDRIKA 10,1,20,20
203329,1/6/2014,9:48:44,MILK 500ML  ,4,22,88
203329,1/6/2014,9:48:44,BRITANNIA SA,1,26,26
203329,1/6/2014,9:48:44,HALDIRAM`S 8,1,10,10
203330,1/6/2014,9:49:12,C C DOSA BAT,1,51,51
203331,1/6/2014,9:51:14,NESTLE CHOTU,2,2,4
203331,1/6/2014,9:51:14,MAGGI MASALA,2,10,20
203331,1/6/2014,9:51:14,MILK 500ML  ,1,22,22
203331,1/6/2014,9:51:14,THUMS UP 1.5,1,52,52
