BillNo,Date,Time,Description,Quantity,Rate,Amount
00182056,01/03/2014,20:33:46,CARRY BAG   ,   1.00,      2.00,      2.00
00182056,01/03/2014,20:33:46,ONIONS      ,   1.50,     15.00,     22.50
00182057,01/03/2014,20:39:01,PRIYA REF SU,   1.00,     86.00,     86.00
00182057,01/03/2014,20:39:01,HERITAGE CUR,   1.00,     40.00,     40.00
00182057,01/03/2014,20:39:01,NESTLE ALPIN,   1.00,     25.00,     25.00
00182057,01/03/2014,20:39:01,I D DOSA BAT,   1.00,     45.00,     45.00
00182057,01/03/2014,20:39:01,FABERCASTEL,   1.00,      5.00,      5.00
00182058,01/03/2014,20:40:29,COCACOLA 60,   1.00,     35.00,     35.00
00182058,01/03/2014,20:40:29,SPRITE 500ML,   1.00,     35.00,     35.00
00182058,01/03/2014,20:40:29,KINLEY SODA ,   1.00,     28.00,     28.00
00182059,01/03/2014,20:42:21,BRITANNIA BO,   2.00,     12.00,     24.00
00182060,01/03/2014,20:46:54,APSARA PENCI,  10.00,      5.00,     50.00
00182061,01/03/2014,20:47:30,SUNFEAST MAR,   1.00,     10.00,     10.00
00182061,01/03/2014,20:47:30,VAMU 50G    ,   1.00,     13.00,     13.00
00182061,01/03/2014,20:47:30,YIPPEE NOODL,   2.00,     10.00,     20.00
00182061,01/03/2014,20:47:30,RATNA CHIKKY,   1.00,     20.00,     20.00
00182062,01/03/2014,20:49:25,COCACOLA TI,   1.00,     25.00,     25.00
00182062,01/03/2014,20:49:25,HERITAGE CUR,   1.00,     40.00,     40.00
00182062,01/03/2014,20:49:25,STAYFREE SEC,   2.00,     33.00,     66.00
00182062,01/03/2014,20:49:25,MILK 500ML  ,   1.00,     20.00,     20.00
00182063,01/03/2014,20:50:02,BRITANNIA NU,   1.00,     15.00,     15.00
00182064,01/03/2014,20:51:29,KINLEY SODA ,   1.00,     18.00,     18.00
00182064,01/03/2014,20:51:29,PEARS 125G*3,   1.00,    156.00,    156.00
00182064,01/03/2014,20:51:29,HEAD & SHOUL,   1.00,    254.00,    254.00
00182065,01/03/2014,20:52:07,TAMRIND 200G,   1.00,     22.00,     22.00
00182066,01/03/2014,20:53:16,CADBURY DAIR,   2.00,      5.00,     10.00
00182066,01/03/2014,20:53:16,BULL BRAND C,   2.00,     12.00,     24.00
00182066,01/03/2014,20:53:16,TAMRIND 500G,   1.00,     49.00,     49.00
00182067,01/03/2014,09:07:36,WHEEL GREEN ,   1.00,     22.00,     22.00
00182068,01/03/2014,09:11:05,DABUR GINGER,   1.00,     36.00,     36.00
00182068,01/03/2014,09:11:05,PARLE HIDE &,   1.00,     10.00,     10.00
00182068,01/03/2014,09:11:05,KURKURE 20/,   1.00,     20.00,     20.00
00182069,01/03/2014,09:16:19,EVEREST SAMB,   1.00,     26.00,     26.00
00182070,01/03/2014,09:18:59,CADBURY ECLA,   4.00,      1.00,      4.00
00182070,01/03/2014,09:18:59,VIM BAR 265G,   1.00,     16.00,     16.00
00182071,01/03/2014,09:20:34,IDLI RAVA NO,   1.00,     26.00,     26.00
00182071,01/03/2014,09:20:34,PARACHUTE CO,   1.00,     50.00,     50.00
00182071,01/03/2014,09:20:34,CADBURY GEMS,   1.00,     35.00,     35.00
00182071,01/03/2014,09:20:34,MILK 500ML  ,   4.00,     21.00,     84.00
00182071,01/03/2014,09:20:34,HERITAGE CUR,   1.00,     20.00,     20.00
00182071,01/03/2014,09:20:34,EGG         ,   6.00,      4.00,     24.00
00182072,01/03/2014,09:21:40,MILK 500ML  ,   2.00,     20.00,     40.00
00182073,01/03/2014,09:24:30,VISAKHA DAIR,   1.00,     42.00,     42.00
00182074,01/03/2014,09:26:05,BRITANNIA WH,   1.00,     26.00,     26.00
00182074,01/03/2014,09:26:05,MILK 500ML  ,   4.00,     21.00,     84.00
00182075,01/03/2014,09:26:18,MILK 500ML  ,   1.00,     21.00,     21.00
00182076,01/03/2014,09:27:06,IDEA CARD 1/, 100.00,      1.00,    100.00
00182077,01/03/2014,09:29:01,CARRY BAG   ,   1.00,      2.00,      2.00
00182077,01/03/2014,09:29:01,COCONUT 1P  ,   1.00,     16.00,     16.00
00182077,01/03/2014,09:29:01,PAN CAKE MIX,   1.00,    175.00,    175.00
00182077,01/03/2014,09:29:01,I D DOSA BAT,   1.00,     45.00,     45.00
00182078,01/03/2014,09:29:22,MILK 500ML  ,   1.00,     21.00,     21.00
00182078,01/03/2014,09:29:22,HERITAGE CUR,   1.00,     20.00,     20.00
00182079,01/03/2014,09:29:55,EGG         ,  12.00,      4.00,     48.00
00182080,01/03/2014,09:30:10,QUAKER OATME,   1.00,     39.00,     39.00
00182081,01/03/2014,09:31:10,NESTLE MILKY,   1.00,     10.00,     10.00
00182081,01/03/2014,09:31:10,POOJA GINGEL,   1.00,     93.00,     93.00
00182081,01/03/2014,09:31:10,BRU INSTANT ,   1.00,     10.00,     10.00
00182081,01/03/2014,09:31:10,DABUR RED TO,   1.00,     17.00,     17.00
00182081,01/03/2014,09:31:10,FREEDOM SUNF,   1.00,     88.00,     88.00
00182081,01/03/2014,09:31:10,LAYS 10/   ,   1.00,     10.00,     10.00
00182082,01/03/2014,09:31:48,HUGGIES DRY ,   1.00,    499.00,    499.00
00182083,01/03/2014,09:32:40,MILK 500ML  ,   3.00,     21.00,     63.00
00182084,01/03/2014,09:34:06,CARRY BAG   ,   1.00,      3.00,      3.00
00182084,01/03/2014,09:34:06,THUMS UP TIN,   2.00,     25.00,     50.00
00182084,01/03/2014,09:34:06,GATORADE 500,   1.00,     35.00,     35.00
00182084,01/03/2014,09:34:06,LIMCA 600ML ,   1.00,     35.00,     35.00
00182084,01/03/2014,09:34:06,TROPICANA AP,   1.00,     99.00,     99.00
00182084,01/03/2014,09:34:06,DABUR TOMATO,   2.00,     20.00,     40.00
00182084,01/03/2014,09:34:06,PREMIER FACE,   2.00,     65.00,    130.00
00182084,01/03/2014,09:34:06,KISSAN MIXED,   1.00,     48.00,     48.00
00182084,01/03/2014,09:34:06,KINLEY WATER,   1.00,     10.00,     10.00
00182085,01/03/2014,09:37:17,BRITANNIA WH,   1.00,     26.00,     26.00
00182085,01/03/2014,09:37:17,HERITAGE CUR,   1.00,     40.00,     40.00
00182086,01/03/2014,09:41:30,GILLETTE MAC,   1.00,    489.00,    489.00
00182086,01/03/2014,09:41:30,GILLETTE VEC,   1.00,     85.00,     85.00
00182086,01/03/2014,09:41:30,GILLETTE FUS,   1.00,    649.00,    649.00
