BillNo,Date,Time,Description,Quantity,Rate,Amount
196012,1/5/2014,20:24:51,EVEREST TIKH,1,48,48
196013,1/5/2014,20:25:21,BRITANNIA WH,1,26,26
196013,1/5/2014,20:25:21,EGG         ,12,3.5,42
196014,1/5/2014,20:26:56,BOOST 200G  ,1,89,89
196014,1/5/2014,20:26:56,EGG         ,12,3.5,42
196015,1/5/2014,20:28:16,CROWN JEERA ,1,15,15
196015,1/5/2014,20:28:16,MINUTE MAID ,1,20,20
196015,1/5/2014,20:28:16,HERITAGE CUR,1,40,40
196016,1/5/2014,20:28:32,HERITAGE CUR,1,20,20
196017,1/5/2014,20:30:11,EGG         ,12,3.5,42
196017,1/5/2014,20:30:11,BRITANNIA OR,1,25,25
196017,1/5/2014,20:30:11,GOOD DAY JAM,1,15,15
196017,1/5/2014,20:30:11,BRITANNIA MI,1,17,17
196017,1/5/2014,20:30:11,BRITANNIA MI,2,10,20
196017,1/5/2014,20:30:11,BRITANNIA BO,2,12,24
196017,1/5/2014,20:30:11,BRITANNIA MI,1,26,26
196018,1/5/2014,20:30:57,NESTLE MILKY,1,5,5
196018,1/5/2014,20:30:57,BRITANNIA WH,1,26,26
196018,1/5/2014,20:30:57,GOOD KNIGHT ,3,58,174
196019,1/5/2014,20:36:17,EGG         ,12,3.5,42
196019,1/5/2014,20:36:17,NESTLE MILKY,1,5,5
196019,1/5/2014,20:36:17,ORBIT CHEWIN,1,5,5
196019,1/5/2014,20:36:17,SUGAR 1KG   ,2,34,68
196019,1/5/2014,20:36:17,B RAVA 1KG  ,1,38,38
196019,1/5/2014,20:36:17,IDLI RAVA NO,1,26,26
196019,1/5/2014,20:36:17,KAMAL SPECIA,1,30,30
196019,1/5/2014,20:36:17,LAYS 10/   ,1,10,10
196019,1/5/2014,20:36:17,NESTLE NAN 3,1,387,387
196019,1/5/2014,20:36:17,PARLE G 250G,4,10,40
196019,1/5/2014,20:36:17,PARLE HIDE &,2,10,20
196019,1/5/2014,20:36:17,BRITANNIA MI,1,10,10
196020,1/5/2014,20:37:58,RAJAMA WHITE,1,70,70
196020,1/5/2014,20:37:58,BRITANNIA SA,1,26,26
